"t","id","name","active","x","y","z","v","distance","location","terrain type","attractor","occupant_target","last_goal_started","TEMPERATURE","OXYGEN VOLUME FRACTION","CARBON MONOXIDE VOLUME FRACTION","CARBON DIOXIDE VOLUME FRACTION","SOOT VISIBILITY","*FED_TOTAL*"
"s","","","","m","m","m","m/s","m","","","","","","C","mol/mol","mol/mol","mol/mol","m",""
5.000000,2,"00004",0,0.888049,-1.000000,0.000000,0.456344,4.729046,,"level",,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,30.641371,0.206258,0.000039,0.001064,25.281111,0.000034
6.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,20.537841,0.207541,0.000001,0.000396,29.987024,0.000001
7.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,49.706051,0.203914,0.000109,0.002286,15.582451,0.000093
7.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,21.764785,0.207398,0.000005,0.000470,29.689775,0.000004
8.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,56.825709,0.203031,0.000135,0.002746,11.805672,0.000172
8.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,25.498825,0.206935,0.000019,0.000712,28.227497,0.000016
9.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,60.107739,0.202599,0.000148,0.002972,10.332381,0.000261
9.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,33.940117,0.205875,0.000050,0.001264,23.627564,0.000049
10.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,60.544465,0.202535,0.000150,0.003005,9.963149,0.000352
10.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,44.515838,0.204569,0.000089,0.001945,16.173244,0.000101
11.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,63.986408,0.202128,0.000162,0.003217,9.531769,0.000453
11.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,48.753505,0.204044,0.000105,0.002218,13.247074,0.000162
12.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,71.190388,0.201253,0.000188,0.003673,8.441497,0.000569
12.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,50.814355,0.203775,0.000113,0.002359,12.381388,0.000229
13.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,81.527050,0.199946,0.000227,0.004355,6.984452,0.000719
13.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,54.944342,0.203269,0.000128,0.002622,11.257740,0.000311
14.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,87.073100,0.199221,0.000248,0.004732,6.472912,0.000876
14.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,62.458823,0.202380,0.000154,0.003086,9.677763,0.000411
15.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,85.218484,0.199403,0.000243,0.004638,6.591418,0.001035
15.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,69.529931,0.201491,0.000181,0.003549,8.340979,0.000524
16.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,88.912770,0.198884,0.000259,0.004908,6.156296,0.001207
16.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,74.870540,0.200820,0.000201,0.003899,7.502087,0.000656
17.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,99.141049,0.197555,0.000298,0.005601,5.418395,0.001409
17.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,86.299585,0.199312,0.000246,0.004685,6.258820,0.000823
18.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,106.624295,0.196583,0.000327,0.006107,5.009488,0.001624
18.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,95.757193,0.197963,0.000286,0.005388,5.480248,0.001006
19.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,109.948831,0.196125,0.000341,0.006346,4.839367,0.001852
19.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,101.199344,0.197215,0.000308,0.005778,5.146859,0.001210
20.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,111.689941,0.195883,0.000348,0.006472,4.754167,0.002087
20.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,104.012137,0.196843,0.000319,0.005972,5.002762,0.001421
21.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,114.724422,0.195459,0.000361,0.006693,4.616573,0.002336
