Quantity,Datasets,Points,sigmaE,sigmaM,Bias
"HGL Temperature, Forced Ventilation",4,111,0.07,0.2,1.22
"HGL Temperature, Natural Ventilation",9,160,0.07,0.07,1.03
"HGL Temperature, No Ventilation",3,62,0.07,0.11,1.16
HGL Depth,9,177,0.05,0.05,1.03
Ceiling Jet Temperature,11,552,0.07,0.11,1.02
Sloped Ceiling Jet Temperature,2,152,0.07,0.22,0.91
Plume Temperature,7,71,0.07,0.17,1.1
Oxygen Concentration,5,98,0.08,0.11,0.99
Carbon Dioxide Concentration,6,95,0.08,0.11,0.97
Smoke Concentration,1,14,0.19,0.6,2.63
Compartment Over-Pressure,2,39,0.21,0.3,1.12
Open Compartment Over-Pressure,3,18,0.15,0.2,1.01
Target Temperature,4,819,0.07,0.21,0.99
THIEF Temperature,2,94,0.07,0.16,1.06
Surface Temperature,3,845,0.07,0.13,1.04
Target Heat Flux,3,267,0.11,0.26,0.97
Flame Impinging Heat Flux,4,52,0.11,0.37,0.93
Surface Heat Flux,2,342,0.11,0.16,0.9
Velocity,6,211,0.08,0.09,0.99
Sprinkler Activation Time,5,232,0.06,0.15,0.93
Smoke Detector Activation Time,1,142,0.27,0.27,0.61
"Smoke Detector Activation Time, Temp. Rise",1,142,0.3,0.3,0.86
Cable Failure Time,1,35,0.12,0.16,1.1
Sprinkler Actuations,3,38,0.15,0.35,0.96
Burning Rate,4,53,0.08,0.18,1.12
Carbon Monoxide Concentration,5,69,0.19,0.42,0.93
Entrainment,2,87,0.05,0.05,1.13
Extinction Time,1,39,0.1,0.57,1.08
Species Concentration,1,126,0.08,0.15,0.98
Low Ceiling Jet Temperature,1,120,0.07,0.13,1.14
Low Heat Flux,2,18,0.11,0.42,1.04
Low Surface Temperature,1,6,0.07,0.28,1.03
Smoke Obscuration,1,18,0.1,0.1,1.1
